,text,Trust,boring,lively,persuasive,reasonable,trustworthy,logical,feel about the topic
1,"its a bit confusing because the punishment is working for the 'home team,' which i assumed both speakers were aligned with, but the fact that supporting the home team is a punishment, makes them seem suspicious and dubious",2,3,3,4,4,3,5,2
2,i dont know,4,3,3,4,4,4,4,3
3,"the speaker seems to establish that the other speaker believes that CO2 increase in not bad, but is trying to be the other speaker to take action or agree on the negative effects of this thing based on current accepted info. it seems like they are trying to find common ground, but i would not trust the other person",1,3,3,5,5,4,4,2
4,the speaker is stating what info they do not have and that they are acting in good faith to reconstruct or obtain info in the interest of diplomacy or national security,3,3,3,4,4,3,5,3
5,i dont know,4,3,3,3,4,3,4,3
6, i dont know,1,3,3,2,2,2,2,3
7,i dont know,3,3,3,3,4,3,4,2
8,"the speaker seems to be agreeing with the other speakers mother. so they are related, perhaps the speaker is a father figure for the other speaker. it seems like the speakers trusts the other speaker but it trying to persuade the other speaker to not do something or understand an action relating to cereal or grocery stores",5,3,3,3,3,3,3,3
9,the speaker doesnt trust the statements of a football player and he is telling another speaker about it,1,3,4,4,3,3,4,3
10,"the speaker is critiquing the notion of political correctness as an ideology which has always been overblown and is never helpful because it deprioritizes truth. the speaker seems to imply that the other speaker is aligned with this view, but is still in an outsider position.",2,3,4,4,4,3,3,2
11,i dont know,2,3,3,3,3,3,3,3
12,i dont know,4,3,3,3,4,3,4,3
13,i dont know,3,3,3,3,4,3,4,3
14,the speaker is trying to present a balanced view of a tv show that is based off a anime series that people feel very strongly about,4,3,4,2,4,4,4,3
15,this speaker wants to change the perspective of the other speaker about republican resistance to covid19 vaccination,2,3,4,4,4,3,4,2
16,i dont know,4,3,3,3,4,4,4,3
17,i dont know,4,3,3,4,3,3,4,3
18,"the speaker is asking the other speaker for medical advice about children who are unvaccinated against covid19, trying to follow all the best practices and be safe",4,3,3,4,4,4,4,4
19,"the speaker is talking about work-life balance when working from home, and is presenting an argument that the time that one works is flexible and that making clear boundries are hard. the other speakers seems not to know this",4,3,3,3,4,4,4,3
20,"the speaker is presenting an argument that trustworthy- sounding people, aka news people were knowingly lying about vital medicine for humans, based on hearsay and also facts.",1,2,4,2,2,2,2,2
21,the speaker is asking the other speaker to explain their experience with policing,4,3,3,3,4,4,4,2
22,i dont know,2,3,4,3,3,3,3,3
23,i dont know,4,3,4,3,3,3,3,3
24,i dont know,5,3,4,3,3,3,3,3
25,i dont know,4,3,3,3,4,4,4,3
26,the speaker is presenting an argument that women still get paid less than men,4,3,4,4,4,4,4,2
27,i dont know,2,3,4,3,4,3,4,3
28,i dont know,3,3,3,3,3,3,3,3
29,i dont know,2,3,4,4,4,3,4,3
30,"the speakers seems to  be explaining that rejoining the paris agreement was an important action, and they want the other speaker to explain more about their view or present new info",3,3,3,3,4,4,4,4
